FID,Funding_Pool_Name,Funding_Pool_Closing_Date,Financial_Year,Organisation_Name,Project_Event_Title,Confirmed_umbrella_organisation__Account_Name,Where_will_it_take_place_,Where_will_it_take_place__1,Venue,Project_Start_Date,Project_End_Date,Event_start_date,Event_end_date,Target_age_group,Target_age_group_1,Target_Population,Other_Specific_Group,Active_participants,Attendees,Physical_access,Financial_access,Total_Project_Cost,Other_Income_Your_Contribution,Difference,Amount_requested,Granted_Total_Amount,Final_Decision,Status,Outcome_1,Outcome_2,Outcome_3,Outcome_4,Outcome_5,Outcome_6,Outcome_7,Outcome_8,Outcome_9,Outcome_10,Link_to_website_for_your_project_event
491,Arts And Culture Fund,2014-07-30T12:00:00.000Z,2014,Out Of Bounds - Dean Hewison T/A,Conversations,Show Pony - Venera Euphemia Limited T/A,-,Wellington Central,BATS Theatre,1/4/2015 12:00:00 AM,2/14/2015 12:00:00 AM,7/31/2014 12:00:00 AM,7/31/2014 12:00:00 AM,-,All,All,-,-,-,"Clearly visible signage; Wheelchair accessible toilet; Wheelchair access to main entrance",Community Service/Gold card discount,8418.6,5127,3291.6,3291.6,2000,Approved,Complete,Achieve minimum of 60% houses over the two week season.,Receive 3 positive published reviews,Create opportunities for the work to continue,-,-,-,-,-,-,-,-
492,Waste Minimisation Seed Fund under $2000,2016-10-31T12:00:00.000Z,2016,Birth Wise (Wellington) Inc.,Sustainable baby product packs,-,-,All of Wellington City,"Trinity Union Hall, Hall Ave, Newtown",11/1/2016 12:00:00 AM,10/31/2017 12:00:00 AM,9/19/2016 12:00:00 AM,9/19/2016 12:00:00 AM,-,All,All,Babies/parents,-,-,-,Free to all,1525,0,1525,1525,1525,Approved,Monitoring,Families receive a sustainable baby product pack,Families are more aware of sustainable baby product options,Waste from disposable baby products is reduced,-,-,-,-,-,-,-,www.birthwise.org.nz
493,Community Events Sponsorship,2016-07-07T12:00:00.000Z,2016,Out Wellington Inc,Out in the Park and Wellington Pride Festival,-,-,Wellington Central,Waitangi Park,6/10/2016 12:00:00 AM,6/10/2016 12:00:00 AM,3/18/2017 12:00:00 AM,3/18/2017 12:00:00 AM,"Adults (+25 years); Children (under 13 years); Families; Teenagers (13-17 years); Young adults (18-25 years); Seniors",-,All,LGBTQI+,-,-,"Clearly visible signage; Mobility parking nearby; Wheelchair accessible toilet; Wheelchair access to main entrance","Free to all; Koha/donation",49000,22000,27000,20000,7000,Approved,Monitoring,"To successfully engage Wellington's LGBTQI+ community to attend the Wellington Pride Festival, Out in the Park Fair and Wellington Pride Parade.","To promote inclusiveness, tolerance, and social cohesion by drawing diverse communities together at the Pride Festival, Pride Parade and Out in the Park Fair","To provide a platform for individuals and groups within the Wellington LGBTQI+ community to showcase their work, skills, views and practice",To represent and support underrepresented parts of the LGBTQI+ community,To increase the visibility and understanding of many aspects of the LGBTQI+ community throughout Wellington,-,-,-,-,-,http://outinthepark.co.nz
494,Built Heritage Incentive Fund,2013-03-30T12:00:00.000Z,2012,Blair Studios Body Corporate # 304123,Blair Studios - Repair Cracking in Building,-,-,Wellington Central,-,6/1/2013 12:00:00 AM,6/30/2013 12:00:00 AM,-,-,-,-,-,-,-,-,-,-,8541.66,0,8541.66,8541.66,5000,Approved,Complete,Restore the building to its prior strength,-,-,-,-,-,-,-,-,-,-
495,Social And Recreation Fund,2013-07-30T12:00:00.000Z,2013,Out Wellington Inc,OUT IN THE SQUARE,-,-,Wellington Central,-,7/29/2013 12:00:00 AM,1/19/2014 12:00:00 AM,-,-,-,All,Other specific group,.,-,-,"Clearly visible signage; Mobility parking nearby; Wheelchair accessible toilet; Wheelchair access to main entrance",Free to all,17850,13500,4350,3000,1500,Approved,Complete,Awareness of the LGBTI community,Celebrity diversity and equality,Sustainability for the event to continue to run annually,-,-,-,-,-,-,-,-
496,Community Events Sponsorship,2014-07-27T12:00:00.000Z,2014,Out Wellington Inc,Out in the Park 2015 Wellington's Queer Fair,-,-,Wellington Central,Waitangi Park,7/27/2014 12:00:00 AM,7/27/2014 12:00:00 AM,2/14/2015 12:00:00 AM,2/14/2015 12:00:00 AM,"Adults (+25 years); Children (under 13 years); Families; Teenagers (13-17 years); Young adults (18-25 years); Seniors",-,Other specific group,"Lesbian, gay, bisexual, transgender, and takataapui communities, and everyone who supports diversity",-,-,"Clearly visible signage; Mobility parking nearby; Wheelchair accessible toilet; Wheelchair access to main entrance",Free to all,38455.17,28665,9790.17,7290.17,5000,Approved,Complete,"Successfully engage Wellington's queer community, particularly youth, to attend the Fair","Promote inclusiveness, tolerance, and social cohesion by drawing diverse communities together at the Fair",Maintain and strengthen relationships with community organisations and local businesses that support the Fair,Engage a diverse range of entertainers and dignitaries to perform or speak at the Fair,-,-,-,-,-,-,http://outinthesquare.wordpress.com/
497,Arts And Culture Fund,2015-10-26T12:00:00.000Z,2015,Blenheim175 Organising Committee,Blenheim 175th Anniversary Picnic,Clan Keith in New Zealand Incorporated,-,All of Wellington City,Onslow College,6/15/2014 12:00:00 AM,1/31/2016 12:00:00 AM,12/27/2015 12:00:00 AM,12/27/2015 12:00:00 AM,-,All,All,People with an interest in Scottish heritage and people with an interest in Wellington's history.,-,-,"Clearly visible signage; Mobility parking nearby; Wheelchair accessible toilet; Wheelchair access to main entrance",Free to all,4003,1503,2500,2500,1500,Approved,Complete,"Mark the 175th anniversary of the arrival of the ""Blenheim"" with a successful picnic that celebrates Scottish music, dance and heritage..",Provide a basis for the building of interest in Wellington's Scottish heritage by attracting at least 200 people.,-,-,-,-,-,-,-,-,"www.blenheim175.wordpress.com; https://www.facebook.com/Blenheim175"
498,Community Events Sponsorship,2015-06-08T12:00:00.000Z,2015,Out Wellington Inc,Out in the Park 2016 Wellington's Queer Fair,-,-,Wellington Central,Waitangi Park,6/8/2015 12:00:00 AM,6/8/2015 12:00:00 AM,3/12/2016 12:00:00 AM,3/12/2016 12:00:00 AM,"Adults (+25 years); Children (under 13 years); Families; Teenagers (13-17 years); Young adults (18-25 years); Seniors",-,Other specific group,"Lesbian, gay, bisexual, transgender, and takataapui communities, and everyone who supports diversity",-,-,"Clearly visible signage; Mobility parking nearby; Wheelchair accessible toilet; Wheelchair access to main entrance",Free to all,42000,28665,13335,10000,7000,Approved,Complete,"Successfully engage Wellington's LGBTQI+ community, particularly youth, to attend the Fair","Promote inclusiveness, tolerance, and social cohesion by drawing diverse communities together at the Fair",Represent and support underrepresented parts of the LGBTQI+ community,Maintain and strengthen relationships with community organisations and local businesses that support the Fair,Engage a diverse range of entertainers and dignitaries to perform or speak at the Fair,-,-,-,-,-,http://outinthepark.co.nz/
499,Tawa Community Funding,2015-02-27T12:00:00.000Z,2014,Blind Foundation,Blind Foundation Library Service,-,-,All of Tawa,-,2/1/2015 12:00:00 AM,2/1/2016 12:00:00 AM,2/1/2015 12:00:00 AM,2/1/2015 12:00:00 AM,-,All,All,-,-,-,-,-,200000,79500,120500,2000,500,Approved,Complete,"Provide members of the Blind Foundation in Tawa with access to information, literacy, adaptive equipment and technology",Report on local membership and use of your services,-,-,-,-,-,-,-,-,-
500,Arts And Culture Fund,2015-07-06T12:00:00.000Z,2015,Out Wellington Inc,Love Parade,-,-,Wellington Central,Wellington CBD ending in Waitangi Park,6/29/2015 12:00:00 AM,3/12/2016 12:00:00 AM,3/12/2016 12:00:00 AM,3/12/2016 12:00:00 AM,-,All,All,LGBTQI,-,-,"Clearly visible signage; Wheelchair access to main entrance",Free to all,12615,2000,10615,5000,0,Declined,Declined,-,-,-,-,-,-,-,-,-,-,http://outinthepark.co.nz/parade/
501,Joe Aspell Funding,2014-10-30T12:00:00.000Z,2014,Blind Foundation,Blind Foundation,-,-,All of Wellington City,-,11/3/2014 12:00:00 AM,10/31/2015 12:00:00 AM,10/31/2014 12:00:00 AM,10/31/2014 12:00:00 AM,-,All,All,Blind and Low Vision,-,-,-,-,104788,0,104788,5000,0,Declined,Declined,-,-,-,-,-,-,-,-,-,-,http://blindfoundation.org.nz/members/member-events/recreational-activities/wellington-recreational-activities
502,Arts And Culture Fund,2016-08-08T12:00:00.000Z,2016,Out Wellington Inc,Wellington Pride Festival | Tū whakahīhī e Te Whanganui-ā-Tara,-,-,"Newtown; Te Aro; Wellington Central","Bars, theatres, art galleries, beaches, churches, halls and parks in Wellington (to be confirmed)",8/15/2016 12:00:00 AM,3/20/2017 12:00:00 AM,3/3/2017 12:00:00 AM,3/19/2017 12:00:00 AM,-,All,All,LGBTQI,-,-,"Clearly visible signage; Mobility parking nearby; Wheelchair accessible toilet; Wheelchair access to main entrance","Free to all; Koha/donation; User pays",14000,4000,10000,10000,0,Declined,Declined,-,-,-,-,-,-,-,-,-,-,http://www.wellingtonpridefestival.org.nz
503,C H Izard Bequest,2015-03-22T12:00:00.000Z,2014,Blind Foundation,Blind Foundation adult counsellor,-,-,All of Wellington City,-,2/12/2015 12:00:00 AM,2/12/2015 12:00:00 AM,2/12/2015 12:00:00 AM,2/12/2015 12:00:00 AM,-,All,All,Blind and low vision,-,-,-,-,60000,0,60000,5000,0,Declined,Declined,-,-,-,-,-,-,-,-,-,-,http://blindfoundation.org.nz/members/member-events/recreational-activities/wellington-recreational-activities
504,General Grants,2013-03-30T12:00:00.000Z,2012,Arada Promotions trading as Go Green Expo,Go Green Expo,-,-,All of Wellington City,-,8/24/2013 12:00:00 AM,8/25/2013 12:00:00 AM,-,-,-,All,All,-,-,-,-,-,246560,219732,26828,15000,0,Declined,Declined,-,-,-,-,-,-,-,-,-,-,-
505,Social And Recreation Fund,2014-10-28T12:00:00.000Z,2014,Blueprint Community Trust,The Free Store,Blueprint Community Trust,-,Wellington Central,-,10/13/2014 12:00:00 AM,12/31/2014 12:00:00 AM,10/27/2014 12:00:00 AM,10/27/2014 12:00:00 AM,-,All,Wider community,-,-,-,"Clearly visible signage; Wheelchair accessible toilet; Wheelchair access to main entrance",Free to all,52500,21475,31025,15000,0,Declined,Declined,-,-,-,-,-,-,-,-,-,-,-
506,Wellington Venue Subsidy,2014-06-29T12:00:00.000Z,2013,Arada Promotions trading as Go Green Expo,Go Green Expo,-,"Shed 6; TSB Bank Arena",-,-,8/24/2013 12:00:00 AM,8/25/2013 12:00:00 AM,-,-,-,All,All,generally 25+,-,-,-,-,246560,219732,26828,1,0,Declined,Declined,-,-,-,-,-,-,-,-,-,-,-
507,Built Heritage Incentive Fund,2014-03-13T12:00:00.000Z,2013,Board of Trustees of the Thorndon School,Earthquake Strengthening of School Hall,-,-,Thorndon - Pipitea,-,12/16/2014 12:00:00 AM,2/15/2015 12:00:00 AM,-,-,-,-,-,-,-,-,-,-,126961,76961,50000,50000,15000,Approved,Monitoring,-,-,-,-,-,-,-,-,-,-,-
508,Tawa Community Funding,2014-02-27T12:00:00.000Z,2013,Bob Kortegast,All Star Cheerleading Games,-,-,-,-,4/9/2014 12:00:00 AM,4/18/2014 12:00:00 AM,-,-,-,Young people,Other specific group,-,-,-,-,-,2377.83,0,2377.83,1188.92,0,Declined,Declined,-,-,-,-,-,-,-,-,-,-,-
509,Built Heritage Incentive Fund,2014-11-04T12:00:00.000Z,2014,Body Corporate #79495,"Engineering, Fire report and consent application.",-,-,Te Aro,-,11/3/2014 12:00:00 AM,7/31/2015 12:00:00 AM,11/3/2014 12:00:00 AM,11/3/2014 12:00:00 AM,-,-,-,-,-,-,-,-,19090,0,19090,19090,0,Declined,Declined,-,-,-,-,-,-,-,-,-,-,-
510,Built Heritage Incentive Fund,2012-08-30T12:00:00.000Z,2012,Body Corporate #79495,Wakefield 272,-,-,Te Aro,-,8/13/2012 12:00:00 AM,10/31/2012 12:00:00 AM,-,-,-,-,-,-,-,-,-,-,8625,0,8625,8625,4000,Approved,Complete,Understand the current level of compliance,Understand steps required to achieve compliance.,Determine best way forward to enable the Heritage building to be preserved.,-,-,-,-,-,-,-,-
511,Built Heritage Incentive Fund,2013-11-07T12:00:00.000Z,2013,Body Corporate 331214 - Zephyr @ 82,Seismic Strengthening of 82 Willis Street (former Evening Post Building),-,-,All of Wellington City,-,2/1/2014 12:00:00 AM,8/31/2014 12:00:00 AM,-,-,-,-,-,-,-,-,-,-,2035000,1835000,200000,100000,60000,Approved,Complete,"Seismic strengthening of the building (presently the building is subject to a "" Building"" Notice issued on 27 January 2012.",Concurrent with the seismic strengthenign works attention will eb paid to some areas of water ingress.,External painting,-,-,-,-,-,-,-,-
512,Built Heritage Incentive Fund,2015-03-19T12:00:00.000Z,2014,Body Corporate 72695 251 - 255 Cuba St,251 - 255 Cuba Street seismic strengthening project,-,-,All of Wellington City,-,3/4/2015 12:00:00 AM,3/4/2015 12:00:00 AM,3/4/2015 12:00:00 AM,3/4/2015 12:00:00 AM,-,-,-,-,-,-,-,-,17385.13,0,17385.13,17385.13,15000,Approved,Monitoring,"Obtain reports, recommendations, estimated costs and working drawings relating to the proposed strengthening of the building",-,-,-,-,-,-,-,-,-,-
513,General Grants - Contract Funding,2018-05-30T12:00:00.000Z,2018,Berhampore School,Centennial Community Centre- year 3 of 3 (2018-2019),-,-,Berhampore,-,4/18/2016 12:00:00 AM,4/18/2016 12:00:00 AM,4/18/2016 12:00:00 AM,4/18/2016 12:00:00 AM,-,-,-,-,-,-,-,-,39968,2957,37011,43005,43000,Approved,For Funding Agreement Acceptance,-,-,-,-,-,-,-,-,-,-,-
514,Social And Recreation Fund,2015-10-27T12:00:00.000Z,2015,Berhampore School,Centennial Flats Community Space,-,-,Berhampore,-,10/28/2015 12:00:00 AM,6/30/2016 12:00:00 AM,10/28/2015 12:00:00 AM,10/28/2015 12:00:00 AM,-,All,All,-,-,-,"Clearly visible signage; Mobility parking nearby; Wheelchair accessible toilet; Wheelchair access to main entrance","Free to all; Koha/donation; User pays",26980,0,26980,26980,26000,Approved,Complete,"To operate the Centennial Community Centre as a community centre, using guidelines attached, this will include identifying social and community needs and develop a programme of community activities and services for the whole community.",To appoint a part time coordinator to be based on-site and manage the facility and develop community activities.,To establish a steering/management group reporting to the Berhampore School Board of Trustees,To promote neighbourhood support and community preparedness for emergency situations,"To develop a business plan and projected budget, for the community centre which will form part of a further application for funding beyond 30 June 2016, the application closing date for multi-year contract funding is 16 April 2016.",-,-,-,-,-,-
515,General Grants,2013-03-30T12:00:00.000Z,2012,Autism New Zealand,Wellington Branch Swimming Lessons,-,-,"Johnsonville; Karori",-,5/6/2013 12:00:00 AM,4/17/2014 12:00:00 AM,-,-,-,Children,All,Disabilities,-,-,-,-,13912,0,13912,13912,0,Declined,Declined,-,-,-,-,-,-,-,-,-,-,-
516,Social And Recreation Fund,2014-08-19T12:00:00.000Z,2014,Autism New Zealand,Operational Costs,-,-,All of Wellington City,-,11/3/2014 12:00:00 AM,11/3/2015 12:00:00 AM,8/7/2014 12:00:00 AM,8/7/2014 12:00:00 AM,-,All,All,-,-,-,"Clearly visible signage; Mobility parking nearby",Free to all,55511,39234,16277,5576,0,Declined,Declined,-,-,-,-,-,-,-,-,-,-,-
517,Our Living City Fund,2014-07-30T12:00:00.000Z,2014,Owhiro Bay Residents Association,Owhiro Bay Residents Association - Beach Rubble Clean-Up,-,-,Island Bay - Owhiro Bay,-,10/1/2014 12:00:00 AM,3/30/2015 12:00:00 AM,-,-,-,All,Wider community,-,-,-,Clearly visible signage,Free to all,850,0,850,850,0,Declined,Declined,-,-,-,-,-,-,-,-,-,-,-
518,Social And Recreation Fund,2014-04-15T12:00:00.000Z,2013,P3 Foundation,The SEED Programme,-,-,All of Wellington City,-,3/22/2014 12:00:00 AM,8/23/2014 12:00:00 AM,-,-,-,Young people,All,-,-,-,-,Free to all,3000,0,3000,2000,0,Declined,Declined,-,-,-,-,-,-,-,-,-,-,-
519,Built Heritage Incentive Fund,2013-07-30T12:00:00.000Z,2013,Body Corporate 88455,Geotechnic survey to assist with seismic report,-,-,Te Aro,-,9/1/2013 12:00:00 AM,10/31/2013 12:00:00 AM,-,-,-,-,-,-,-,-,-,-,13950,0,13950,13950,12130,Approved,Complete,Geotechnical report so seismic strengthening scheme can be developed,-,-,-,-,-,-,-,-,-,-
520,Built Heritage Incentive Fund,2012-08-30T12:00:00.000Z,2012,Body Corporate Number 52791,332 Tinakori Road - Heritage Conservation,-,-,Thorndon - Pipitea,-,1/15/2013 12:00:00 AM,3/15/2013 12:00:00 AM,-,-,-,-,-,-,-,-,-,-,54425,0,54425,54425,15000,Approved,Complete,"Work has enhanced heritage character of building, particularly as viewed by Tinakori Road pedestrians and drivers at Tinakori Road/Bowen St intersection.",Structural integrity of building is more secured as spouting and downpipes function properly in heavy rains.,Life of character timber windows and doors extended by work.,-,-,-,-,-,-,-,-
521,General Grants,2013-03-30T12:00:00.000Z,2012,Parent Help Wellington Inc,Telephone Support Worker Training,-,-,"All of Wellington City; Wellington Central",-,10/2/2013 12:00:00 AM,11/27/2013 12:00:00 AM,-,-,-,-,All,-,-,-,-,-,3810.4,0,3810.4,3810.4,0,Declined,Declined,-,-,-,-,-,-,-,-,-,-,-
522,Betty Campbell Accommodation Assistance (Rental),2015-06-29T12:00:00.000Z,2015,Parent Help Wellington Inc,"Rental for office, counselling and training rooms Year 2 of 3 (2015-2016)",-,-,-,-,6/1/2014 12:00:00 AM,5/30/2015 12:00:00 AM,9/9/2015 12:00:00 AM,9/9/2015 12:00:00 AM,-,-,-,-,-,-,-,-,26880,0,26880,5500,4000,Approved,Complete,To provide services to parents to ensure the well-being of families,To provide an accessible service for parents on low incomes or benefits,To provide training for volunteers staffing the 0800 parenting helpline,To provide counselling and family therapy for families facing challenges,To offer parenting services to the refugee and migrant community in Wellington,-,-,-,-,-,-
